,Hotel_Name,Price,Room_type,Location,City,No. of Reviews,Rating,Distance from centre (km),Breakfast,Cancellation
793,Hotel Mumbai Residency,1368,Superior Double Room,"Central Suburbs, Mumbai",Mumbai,3,2.3,0.7,Not included,No Free cancellation
794,The Aroma Backpackers,1125,10-Bed Male Dormitory Room,"Central Suburbs, Mumbai",Mumbai,6,9.2,5.1,Not included,No Free cancellation
795,Sahyadri Resort Naneghat,5000,Superior Double Room,"Central Suburbs, Mumbai",Mumbai,0,7.0306546644844525,0.1,Breakfast included,Free cancellation
796,Hotel O Nandi Palace Lodging And Boarding,1279,Classic Triple Room,Mumbai,Mumbai,8,6.2,34.0,Not included,Free cancellation
797,Hotel Precious Pearl,4000,Standard Double Room,"Western Suburbs, Mumbai",Mumbai,3,6.7,4.6,Not included,No Free cancellation
798,Home in New Land,4620,Deluxe Double Room (2 Adults + 1 Child),"Western Suburbs, Mumbai",Mumbai,1,1.0,10.0,Not included,No Free cancellation
799,Hotel Bkc Palace,3000,Deluxe Double Room (2 Adults + 1 Child),"Bandra Kurla Complex, Mumbai",Mumbai,21,5.3,50.0,Not included,No Free cancellation
800,Blue water hostel,1275,Quadruple Room,Mumbai,Mumbai,1,1.0,17.0,Not included,No Free cancellation
801,Hotel Elliott Inn,3200,Deluxe Double Room,"Western Suburbs, Mumbai",Mumbai,41,7.2,10.0,Not included,No Free cancellation
802,shivyog guesthouse,1890,Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,3,9.3,9.3,Not included,No Free cancellation
803,Artist Alley Apartments,15400,Three-Bedroom Apartment,"Santacruz, Mumbai",Mumbai,0,7.0306546644844525,1.3,Not included,No Free cancellation
804,Sequence Villa,13600,Two-Bedroom Villa,"Western Suburbs, Mumbai",Mumbai,0,7.0306546644844525,8.6,Not included,No Free cancellation
805,Grand Rosso Apartments,8796,Three-Bedroom Apartment,"Powai, Mumbai",Mumbai,1,1.0,6.0,Not included,No Free cancellation
806,Spruce Peak Villa,23800,Three-Bedroom Villa,"Western Suburbs, Mumbai",Mumbai,18,7.0306546644844525,8.7,Not included,No Free cancellation
807,Bitul Lodging & Boarding By WB Inn,2849,Standard Double Room,Mumbai,Mumbai,0,7.0306546644844525,27.0,Not included,No Free cancellation
808,"Sterling 401, off Carter Road, Bandra West by Connekt Homes",21999,Three-Bedroom Apartment,"Western Suburbs, Mumbai",Mumbai,1,1.0,5.7,Not included,No Free cancellation
809,Glass Luxe Villa,12000,Two-Bedroom Villa,Mumbai,Mumbai,1,6.0,21.0,Not included,No Free cancellation
810,Shore Beats Villa,35500,Three-Bedroom Villa,"Western Suburbs, Mumbai",Mumbai,4,7.0306546644844525,13.0,Not included,No Free cancellation
811,Nap Manor Hostels,2228,Bed in 4-Bed Mixed (Mini) - Dormitory Room,"Santacruz, Mumbai",Mumbai,947,8.8,3.3,Not included,No Free cancellation
812,Locomo Mumbai - Stay Work Eat,2431,Bed in 8-Bed Female Dormitory Room,"Western Suburbs, Mumbai",Mumbai,0,9.0,4.3,Not included,Free cancellation
813,Krazyhostel,1300,Bed in 6-Bed Mixed Dormitory Room,"Bandra, Mumbai",Mumbai,0,7.0306546644844525,6.2,Not included,Free cancellation
814,"Indie Stays, BKC",2700,Bed in 8-Bed Mixed Dormitory Room,"Santacruz, Mumbai",Mumbai,762,6.9,1.5,Not included,Free cancellation
815,Hammock Hostels - Bandra,2700,Bed in 8-Bed Mixed Dormitory Room,"Khar, Mumbai",Mumbai,169,9.3,5.6,Not included,Free cancellation
816,OSTELO Mumbai Airport Hostel,960,Bunk Bed in Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,98,8.2,2.5,Not included,No Free cancellation
817,Aafee cabin stay & dormitory,760,Single Bed in Male Dormitory Room,"Western Suburbs, Mumbai",Mumbai,1,10.0,2.9,Not included,Free cancellation
818,The V Sadan,7500,Budget Double Room,"Western Suburbs, Mumbai",Mumbai,9,7.0306546644844525,7.2,Not included,No Free cancellation
819,Everest Stays Rooms and Dormitory,1078,Single Bed in Male Dormitory Room with Shared Bathroom,"Santacruz, Mumbai",Mumbai,19,7.7,3.6,Not included,Free cancellation
820,Aman Dormitory,718,Single Room,"Western Suburbs, Mumbai",Mumbai,36,8.0,3.0,Not included,No Free cancellation
821,Bandra Dormitory,800,Single Bed in Male Dormitory Room with Shared Bathroom,"Bandra, Mumbai",Mumbai,145,6.1,4.6,Not included,Free cancellation
822,Capital Hotel,7031,Standard Single Room,"South Mumbai, Mumbai",Mumbai,68,8.1,15.0,Not included,No Free cancellation
823,New Mahira Dormitory,430,Bunk Bed in Male Dormitory Room ,"Western Suburbs, Mumbai",Mumbai,65,6.7,3.0,Not included,Free cancellation
824,Bapuji Dormitory Hostel Mumbai,498,Single Bed in Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,59,5.6,5.1,Not included,Free cancellation
825,Mumbai Room,1600,One-Bedroom Apartment,"Western Suburbs, Mumbai",Mumbai,0,7.0306546644844525,10.0,Not included,No Free cancellation
826,Blossom Dormitory For Male and Female,1338,Single Bed in Male Dormitory Room,"Western Suburbs, Mumbai",Mumbai,293,6.3,2.3,Not included,No Free cancellation
827,Forrest Hostels,1824,Single Bed in Mixed Dormitory Room,"Bandra, Mumbai",Mumbai,483,8.8,3.2,Not included,No Free cancellation
828,Solo Backpacker,1198,Bed in 4-Bed Male Dormitory Room,"Bandra, Mumbai",Mumbai,254,6.2,4.6,Not included,Free cancellation
829,New Abza Dormitory,486,Bed in 10-Bed Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,124,6.2,3.3,Not included,No Free cancellation
830,Sinhassan Dormitory Hostel Juhu,1296,Mixed Dormitory Room,"Juhu, Mumbai",Mumbai,29,6.7,6.5,Not included,Free cancellation
831,Kailasha Hostel,570,Single Bed in Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,10,8.8,3.2,Not included,Free cancellation
832,ZEST STAYS 1054-ANDHERI WEST,800,Single Bed in Male Dormitory Room,"Western Suburbs, Mumbai",Mumbai,27,5.6,8.8,Not included,Free cancellation
833,Golden View Dormitory,1200,10-Bed Male Dormitory Room,"South Mumbai, Mumbai",Mumbai,32,8.2,14.0,Not included,No Free cancellation
834,Kohinoor Dormitory,1198,Single Bed in Female Dormitory Room,"Western Suburbs, Mumbai",Mumbai,191,8.3,6.5,Not included,No Free cancellation
835,Vogue Cabin Stay Near NESCO Bombay Exhibition Centre,2200,Single Room with Shared Toilet,"Western Suburbs, Mumbai",Mumbai,6,7.2,10.0,Not included,No Free cancellation
836,Hotel Comfy Inn,1305,Single Bed in Dormitory Room,"Western Suburbs, Mumbai",Mumbai,9,8.6,11.0,Not included,No Free cancellation
837,"Tokyo Stay,Hostel,Mumbai",1258,Bed in 4-Bed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,20,6.3,4.5,Not included,Free cancellation
838,Kritika Accoommdates P G,2430,Single Bed in Dormitory Room,"South Mumbai, Mumbai",Mumbai,23,7.6,16.0,Not included,Free cancellation
839,GoSolo Stays,2592,Bed in 8-Bed Mixed Dormitory Room,"Khar, Mumbai",Mumbai,318,8.8,5.4,Not included,No Free cancellation
840,Rest Inn Hostel Dormitory,700,Single Bed in Female Dormitory Room,"Western Suburbs, Mumbai",Mumbai,30,8.2,3.0,Not included,Free cancellation
841,Royal Cabin Stay,1438,Single Room,"Western Suburbs, Mumbai",Mumbai,103,5.5,3.3,Not included,No Free cancellation
842,Afreen Hostel Mumbai AC Dormitory,550,Single Bed in Male Dormitory Room with Shared Bathroom,"Western Suburbs, Mumbai",Mumbai,78,7.8,4.6,Not included,Free cancellation
843,Ivy League House - Girls Hostel,5998,Single Room with Private Bathroom,"Juhu, Mumbai",Mumbai,0,7.0306546644844525,6.0,Not included,No Free cancellation
844,Super Champions Hostel,478,Bed in 10-Bed Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,36,7.0,3.2,Not included,No Free cancellation
845,Milano Cabin Stay & Dormitory,1000,Single Bed in Dormitory Room,"Western Suburbs, Mumbai",Mumbai,0,7.0306546644844525,3.2,Not included,Free cancellation
846,Hebbar's Heritage Home,1998,6-Bed Mixed Dormitory Room,"South Mumbai, Mumbai",Mumbai,287,7.7,16.0,Not included,No Free cancellation
847,MAPLE SOCIAL HUBZ-HOSTEL,1200,Bed in 10-Bed Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,92,7.0,3.9,Not included,No Free cancellation
848,Hostel Mantra,1928,Bunk Bed 9-Bed in Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,248,7.6,9.3,Not included,Free cancellation
849,Victory dormitory,630,Bed in Male Dormitory Room,"Western Suburbs, Mumbai",Mumbai,5,7.2,6.0,Not included,No Free cancellation
850,CARE DORMITORY,300,10-Bed Male Dormitory Room,"Western Suburbs, Mumbai",Mumbai,14,6.1,3.2,Not included,Free cancellation
851,Prince Solo Hostel,1598,6-Bed Female Dormitory Room,"Bandra, Mumbai",Mumbai,132,8.5,4.9,Not included,No Free cancellation
852,AVIRAHI HOTEL,1600,Bed in 4-Bed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,57,6.5,14.0,Not included,No Free cancellation
853,Golden View Dormitory New,839,Bed in Male Dormitory Room,"South Mumbai, Mumbai",Mumbai,9,6.2,14.0,Not included,No Free cancellation
854,Mahira Dormitory,420,Bunk Bed in Male Dormitory Room ,"Western Suburbs, Mumbai",Mumbai,96,7.7,3.0,Not included,No Free cancellation
855,Ayala PG Dormitory,600,Male Dormitory Room,"Western Suburbs, Mumbai",Mumbai,115,6.9,2.9,Not included,No Free cancellation
856,New Mango Dormitory,540,Single Bed in Dormitory Room,"Western Suburbs, Mumbai",Mumbai,17,8.2,2.9,Not included,No Free cancellation
857,Town Hostel Mumbai - AC Dormitory,998,Bed in 10-Bed Mixed Dormitory Room,"Santacruz, Mumbai",Mumbai,249,6.3,3.3,Not included,Free cancellation
858,Rameshwar Dormitories - Vile Parle Highway,800,Bunk Bed in Male Dormitory Room ,"Western Suburbs, Mumbai",Mumbai,11,7.2,3.7,Not included,No Free cancellation
859,Casa Cabin Stay Mumbai,1470,Budget Single Room,"Western Suburbs, Mumbai",Mumbai,65,6.5,3.2,Not included,No Free cancellation
860,Noor Dormitory Sakinaka,630,Single Bed in Dormitory Room,"Western Suburbs, Mumbai",Mumbai,17,8.2,3.1,Not included,No Free cancellation
861,Mango Marol Dormitory,702,Bunk Bed in Male Dormitory Room ,"Western Suburbs, Mumbai",Mumbai,283,7.1,3.4,Not included,No Free cancellation
862,Prince Dormitory,808,Bunk Bed in Male Dormitory Room ,"Central Suburbs, Mumbai",Mumbai,3,8.3,2.6,Not included,No Free cancellation
863,Astropods,2115,Single Room with Shared Shower and Toilet,"Western Suburbs, Mumbai",Mumbai,185,8.0,4.3,Not included,No Free cancellation
864,Neenava Dormitory Asalpha,600,Single Bed in Male Dormitory Room with Shared Bathroom,"Western Suburbs, Mumbai",Mumbai,81,7.7,2.8,Not included,Free cancellation
865,Ahlan Dormitory,504,Single Bed in Dormitory Room,"Western Suburbs, Mumbai",Mumbai,272,7.3,3.2,Not included,No Free cancellation
866,Sunrise juhu hostel,898,Bed in Male Dormitory Room,"Juhu, Mumbai",Mumbai,12,7.7,6.5,Not included,No Free cancellation
867,Galaxy Cabin Stay And Dormitory,1400,Single Bed in Male Dormitory Room with Shared Bathroom,"Bandra, Mumbai",Mumbai,3,6.0,4.6,Not included,No Free cancellation
868,ASRA DORMITORY For Male And Female,798,Single Bed in Dormitory Room,"Western Suburbs, Mumbai",Mumbai,76,7.3,3.0,Not included,No Free cancellation
869,Mabrook Dormitory,666,Single Bed in Dormitory Room,"Western Suburbs, Mumbai",Mumbai,187,8.1,3.1,Not included,No Free cancellation
870,Social Hubz Hostel,998,Single Bed in Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,116,7.5,4.2,Not included,No Free cancellation
871,MKH DORMITORY,800,Single Bed in Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,7,7.1,4.8,Not included,No Free cancellation
872,MY DORMITORY,1200,Single Bed in Dormitory Room,"Western Suburbs, Mumbai",Mumbai,0,7.0306546644844525,3.7,Not included,Free cancellation
873,New Passenger Dormitory,700,Male Dormitory Room,"Western Suburbs, Mumbai",Mumbai,3,7.3,6.2,Not included,Free cancellation
874,CABIN STAY-SOCIAL HUBZ,1998,Bed in Male Dormitory Room,"Western Suburbs, Mumbai",Mumbai,20,7.5,4.6,Not included,No Free cancellation
875,Almas Dormitory 24 hours AirCondition,792,Single Bed in Dormitory Room,"Western Suburbs, Mumbai",Mumbai,10,7.3,6.0,Not included,Free cancellation
876,Heraa Dormitory,1200,Single Bed in Dormitory Room,"South Mumbai, Mumbai",Mumbai,3,1.3,16.0,Not included,Free cancellation
877,Vakola Dormitory AC Beds,759,Bed in Male Dormitory Room,"Santacruz, Mumbai",Mumbai,26,6.3,3.2,Not included,Free cancellation
878,Sahara Dormitory Stay-near NESCO Bombay Exhibition Centre,898,Single Bed in Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,16,7.7,9.9,Not included,Free cancellation
879,Indian Drom Hostel-PG,1098,Bunk Bed in Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,12,8.2,3.2,Not included,No Free cancellation
880,Royal Dormitory,898,Single Bed in Male Dormitory Room,"Western Suburbs, Mumbai",Mumbai,112,7.4,3.2,Not included,No Free cancellation
881,MYBED Primium Dormitoty,1498,Single Bed in 6-Bed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,0,7.0306546644844525,4.6,Not included,No Free cancellation
882,Kufa PG Dormitory,704,Single Bed in Male Dormitory Room,"Central Suburbs, Mumbai",Mumbai,75,7.4,40.0,Not included,Free cancellation
883,Hygeinic Airport Dormitory Near by BOM,998,Bunk Bed in Male Dormitory Room ,"Western Suburbs, Mumbai",Mumbai,211,5.2,3.4,Not included,Free cancellation
884,Mumbai Staytion Dorm Hostel - Near Marol Naka Andheri East,1360,Bed in 8-Bed Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,143,7.8,3.8,Not included,No Free cancellation
885,Stayvilla Hostel,1305,Bed in Male Dormitory Room,"Western Suburbs, Mumbai",Mumbai,10,7.3,8.6,Not included,Free cancellation
886,Royal Guest House by WB Inn,5698,Bunk Bed in Mixed Dormitory Room,"South Mumbai, Mumbai",Mumbai,0,7.0306546644844525,13.0,Not included,No Free cancellation
887,Welcome Guest House,1100,Bunk Bed in Male Dormitory Room ,"South Mumbai, Mumbai",Mumbai,265,7.3,12.0,Not included,No Free cancellation
888,Sai Sharan Dormitory-Near Dadar Railway Station,1800,Single Bed in Dormitory Room,"Dadar, Mumbai",Mumbai,7,3.1,7.6,Not included,Free cancellation
889,Super Dormitory AC DELUXE,498,Single Bed in Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,52,7.2,3.1,Not included,No Free cancellation
890,DORMITORY WORLD AC 24 HOURS,1900,Single Bed in Dormitory Room,"Western Suburbs, Mumbai",Mumbai,0,7.0306546644844525,4.6,Not included,Free cancellation
891,Star Dormitory,800,Single Bed in Male Dormitory Room with Shared Bathroom,"Western Suburbs, Mumbai",Mumbai,59,7.4,8.9,Not included,Free cancellation
892,Salaam Namastey Backpackers,1598,Bunk Bed in Mixed Dormitory Room,"Western Suburbs, Mumbai",Mumbai,101,7.4,9.3,Not included,No Free cancellation
893,Bombay 72 Dormitory,876,Single Bed in Male Dormitory Room,"Western Suburbs, Mumbai",Mumbai,2,5.5,3.0,Not included,No Free cancellation
894,Hotel Diamond,4000,Deluxe Room,"Santacruz, Mumbai",Mumbai,1,1.0,1.1,Not included,No Free cancellation
895,Kedarnath Tent House,270,Mobile Home,Kedārnāth,Rishikesh,4,5.5,15.0,Not included,No Free cancellation
896,dharmi camp,360,Tent,Kedārnāth,Rishikesh,10,4.1,35.0,Not included,No Free cancellation
897,Dea Avnova Himalayan Boutique Retreat By PRITHVI INN,3200,Superior Chalet,Kedārnāth,Rishikesh,7,9.0,38.0,Breakfast included,No Free cancellation
898,Kadar Premi tent retreat,1800,Tent,Kedārnāth,Rishikesh,1,10.0,20.0,Not included,No Free cancellation
899,नमः शिवाय कैम्प,1000,Tent,Kedārnāth,Rishikesh,10,2.8,45.0,Breakfast included,No Free cancellation
900,Hills Heaven Camp Kedarnath,2000,Tent,Kedārnāth,Rishikesh,1,9.0,15.0,Not included,No Free cancellation
901,Kedar hill camp,1500,Deluxe Triple Room,Kedārnāth,Rishikesh,1,1.0,45.0,Not included,No Free cancellation
902,Kadernath tent house,1500,Tent,Kedārnāth,Rishikesh,1,4.0,20.0,Not included,No Free cancellation
903,Kadernath tempal tent house,1500,Tent,Kedārnāth,Rishikesh,1,1.0,0.5,Not included,No Free cancellation
904,Hotel Blue Ocean,2556,Double Room,Kedārnāth,Rishikesh,0,7.0306546644844525,13.0,Not included,No Free cancellation
905,Krishna Camp,1620,Tent,Kedārnāth,Rishikesh,1,4.0,3.0,Not included,No Free cancellation
906,Mount kedar camping hub,3575,Tent,Kedārnāth,Rishikesh,0,7.0306546644844525,1.5,Not included,No Free cancellation
907,himalayan tourist cottage,4050,Triple Room,Kedārnāth,Rishikesh,3,5.0,14.0,Breakfast included,Free cancellation
908,"Amritara SunInn, Kedarnath",4236,Deluxe Room,Kedārnāth,Rishikesh,0,7.0306546644844525,31.0,Breakfast included,No Free cancellation
909,Phulwari Heaven Inn,4260,Deluxe Double Room,Kedārnāth,Rishikesh,0,7.0306546644844525,13.0,Not included,No Free cancellation
910,The Kedaram Residency,5680,Double Room,Kedārnāth,Rishikesh,0,7.0306546644844525,19.0,Not included,No Free cancellation
911,Namami Gange camps,840,Budget Double Room,Kedārnāth,Rishikesh,2,5.0,1.2,Not included,Free cancellation
912,Himalayan Breeze Palace,7810,Double Room,Kedārnāth,Rishikesh,0,7.0306546644844525,17.0,Breakfast included,No Free cancellation
913,"Himvant Residency, Kedarnath",5500,Quadruple Room,Kedārnāth,Rishikesh,2,4.5,16.0,Not included,No Free cancellation
914,Hills Heritage Resort,6000,Budget Double Room,Kedārnāth,Rishikesh,0,7.0306546644844525,31.0,Not included,Free cancellation
915,"Kedar Hill Camps, Kedarnath",1900,Tent,Kedārnāth,Rishikesh,0,7.0306546644844525,1.1,Not included,No Free cancellation
916,Tribhuvan Cottage by StayApart,6248,Triple Room,Kedārnāth,Rishikesh,0,7.0306546644844525,13.0,Not included,No Free cancellation
917,ExploringUk campsite,5100,Family Room with Mountain View,Kedārnāth,Rishikesh,0,7.0306546644844525,1.2,Not included,No Free cancellation
918,"Raja Resorts, Kedarnath",4800,Deluxe Room,Kedārnāth,Rishikesh,0,7.0306546644844525,19.0,Not included,No Free cancellation
919,Namami Gange Camps,4200,Tent,Kedārnāth,Rishikesh,0,7.0306546644844525,1.2,Not included,No Free cancellation
920,"Raja resorts, Phata Kedarnath",6000,Deluxe Room,Kedārnāth,Rishikesh,1,1.0,19.0,Breakfast included,No Free cancellation
921,Kedarnath Shiva Camps - TraOwl,1620,Tent,Kedārnāth,Rishikesh,0,7.0306546644844525,30.0,Not included,No Free cancellation
922,Yatharth Hotel & Camp Kedarnath,2400,Tent,Kedārnāth,Rishikesh,0,7.0306546644844525,20.0,Not included,No Free cancellation
923,FabHotel Pravaasam Residency,1480,Deluxe Room,"Malviya Nagar, Jaipur",Jaipur,61,7.8,7.3,Not included,No Free cancellation
924,Trim Boutique Parkota Haveli,3374,Deluxe Double Room,"Amer Fort Road, Jaipur",Jaipur,236,8.8,4.1,Breakfast included,Free cancellation
925,Trimrooms Mount Blue,2924,Superior Double or Twin Room with City View,"Amer Fort Road, Jaipur",Jaipur,0,8.2,4.0,Breakfast included,Free cancellation
926,Jaipur Hotel New - Heritage Hotel,2537,Deluxe Double Room,Jaipur,Jaipur,0,8.2,45.0,Not included,Free cancellation
927,The LIV Hotel Jaipur,6300,Deluxe Double Room,Jaipur,Jaipur,17,9.2,1.1,Not included,No Free cancellation
928,Nahargarh Haveli,2850,Deluxe Double or Twin Room,"Ajmer Road, Jaipur",Jaipur,190,8.2,2.4,Not included,Free cancellation
929,Sarang Palace - A Luxury Boutique Hotel,7574,Plunge Pool Suite with Movie Screening,Jaipur,Jaipur,194,8.1,3.1,Breakfast included,No Free cancellation
930,Hotel Pearl Palace Jaipur,2250,Standard Double Room,"Ajmer Road, Jaipur",Jaipur,742,8.6,2.1,Not included,No Free cancellation
931,Hyatt Place Jaipur Malviya Nagar,8199,Twin Room,"Malviya Nagar, Jaipur",Jaipur,0,8.3,6.7,Breakfast included,Free cancellation
932,Umaid Bhawan - A Heritage Style Boutique Hotel,7650,Royal Deluxe  Free Pick up on Arrival only from Train or Bus station,"Bani Park, Jaipur",Jaipur,0,8.4,2.7,Breakfast included,Free cancellation
933,FabHotel Pearl Square,1114,Deluxe Room,Jaipur,Jaipur,12,6.7,2.0,Not included,No Free cancellation
934,Hotel Kalyan,1755,Standard Double Room with Fan,"Ajmer Road, Jaipur",Jaipur,0,7.7,2.1,Not included,Free cancellation
935,Indie Stays Jaipur,4574,Double Room,Jaipur,Jaipur,45,9.2,9.2,Not included,No Free cancellation
936,"Treebo The Royal CM, 4 Km From City Palace",2012,Double Room,"Bani Park, Jaipur",Jaipur,124,6.9,3.4,Breakfast included,No Free cancellation
937,Raj Rajeshwari Haveli,2800,Standard Double Room,"Khatipura, Jaipur",Jaipur,81,8.5,6.4,Not included,No Free cancellation
938,WelcomHeritage Traditional Haveli,5525,Deluxe Double Room,"Bani Park, Jaipur",Jaipur,646,8.6,2.8,Not included,No Free cancellation
939,Rajputana Haveli - Jaipur,2699,Deluxe Room,"Amer Fort Road, Jaipur",Jaipur,112,8.5,3.0,Not included,Free cancellation
940,Pandya Niwas,2025,Standard Twin Room,Jaipur,Jaipur,506,8.0,1.2,Not included,No Free cancellation
941,"Loft 24, Mansarovar",1871,Deluxe Room,Jaipur,Jaipur,354,9.0,8.3,Not included,Free cancellation
942,Pearl Palace Heritage Boutique Hotel,4500,Deluxe Double Room,Jaipur,Jaipur,916,8.9,2.4,Not included,No Free cancellation
943,Bur'Dera - a Boutique Luxury Hotel,5400,Deluxe King Room,Jaipur,Jaipur,124,7.5,7.6,Not included,No Free cancellation
944,Hotel H R Palace,3069,Superior Double or Twin Room,"Bani Park, Jaipur",Jaipur,0,8.2,2.7,Not included,Free cancellation
945,Madhuban - A Heritage Home,3025,Deluxe Double or Twin Room,"Bani Park, Jaipur",Jaipur,335,8.6,3.0,Breakfast included,Free cancellation
946,FabHotel Polovictory Palace,1255,Deluxe Room,Jaipur,Jaipur,39,6.2,1.9,Not included,No Free cancellation
947,Anuraag Villa,2660,Super Deluxe Double Room,"Bani Park, Jaipur",Jaipur,153,8.7,3.0,Not included,No Free cancellation
948,FabHotel Jaipur Villa,1722,Deluxe Double Room,"Vaishali Nagar, Jaipur",Jaipur,524,7.9,7.0,Not included,No Free cancellation
949,Hotel Marigold Jaipur,3360,Deluxe Double or Twin Room: (Mandatory Gala Dinner Charges for 31st Dec per person   - 4500+GST per person including veg/nonveg food and unlimited IMFL liquor),Jaipur,Jaipur,149,7.9,14.0,Not included,No Free cancellation
950,FabHotel Apex Intercontinental,1354,Deluxe Room,"Adarsh Nagar, Jaipur",Jaipur,68,7.6,2.4,Not included,No Free cancellation
951,Hotel Jai Niwas,3690,Superior Double or Twin Room,"M.I. Road, Jaipur",Jaipur,765,8.7,0.9,Breakfast included,No Free cancellation
952,FabHotel The White Moon,2584,Deluxe Room,"Shyam Nagar, Jaipur",Jaipur,131,8.6,5.3,Not included,No Free cancellation
953,Dileep Kothi - A Royal Boutique Luxury Suites in Jaipur,111000,Suite,Jaipur,Jaipur,283,9.4,2.1,Not included,No Free cancellation
954,Bloom Boutique - Chelon Haveli,5130, Palace Suite,Jaipur,Jaipur,614,8.9,1.5,Not included,No Free cancellation
955,FabHotel Prime Garden View,1439,Deluxe Room,"C Scheme, Jaipur",Jaipur,210,7.0,1.2,Not included,No Free cancellation
956,Ring Road Retreat Pool Villa,3840,Two-Bedroom Apartment,Jaipur,Jaipur,0,7.0306546644844525,18.0,Not included,Free cancellation
957,Nahargarh Palace Hotel,1100,Standard Double Room,Jaipur,Jaipur,666,7.9,2.0,Not included,No Free cancellation
958,Naila Kothi - A Luxury Boutique Royal Suites in Jaipur,10328,King Room with Garden View,Jaipur,Jaipur,21,9.3,12.0,Not included,No Free cancellation
959,Dera Jaipur Homestay,8500,King Room with Garden View,"Bani Park, Jaipur",Jaipur,161,9.3,3.3,Breakfast included,No Free cancellation
960,Tara Niwas,3330,Superior Double or Twin Room,"Bani Park, Jaipur",Jaipur,321,9.0,2.4,Not included,No Free cancellation
961,Hotel Rime Vista,4725,Deluxe Double or Twin Room,"Bani Park, Jaipur",Jaipur,36,8.6,3.0,Not included,Free cancellation
962,Hotel Pulse Inn Jaipur,3500,Deluxe King Room,Jaipur,Jaipur,315,8.0,2.9,Not included,Free cancellation
963,FabHotel Prime Sapphire Inn,2030,Deluxe Room,Jaipur,Jaipur,219,8.4,8.0,Not included,No Free cancellation
964,Rajmahal Palace RAAS,35000,Deluxe Double Room,Jaipur,Jaipur,110,8.8,2.8,Breakfast included,No Free cancellation
965,Holiday Inn Express & Suites Jaipur Gopalpura,8929,Standard Room,Jaipur,Jaipur,342,7.9,6.3,Breakfast included,No Free cancellation
966,FabHotel Bohra International,1480,Deluxe Room,Jaipur,Jaipur,128,7.7,2.6,Not included,No Free cancellation
967,V Sarovar Portico MI Road Jaipur,7246,"Deluxe Double Room - with 25% Off on FNB, Welcome Drink on Arrival. Room upgrade to Next Category subject to availability","Sansar Chandra Road, Jaipur",Jaipur,154,8.2,1.6,Breakfast included,Free cancellation
968,FabHotel Wind Palace,2338,Deluxe Room,"Amer Fort Road, Jaipur",Jaipur,199,8.4,2.6,Not included,No Free cancellation
969,Noble House - A Heritage Home,1320,Deluxe King Room,Jaipur,Jaipur,189,8.3,8.4,Not included,No Free cancellation
970,Cygnett Style Ganga,2650,Superior Double or Twin Room,Jaipur,Jaipur,6,9.2,12.0,Not included,No Free cancellation
971,Treebo The Anchorage Malviya Nagar,2019,[Sanitized] Deluxe Double or Twin Room,"Malviya Nagar, Jaipur",Jaipur,93,7.6,7.9,Breakfast included,No Free cancellation
972,Marigold Inn- Homestay,3000,Deluxe Room,"Civil Lines, Jaipur",Jaipur,285,9.4,4.1,Breakfast included,No Free cancellation
973,"Libra Lords Inn, Jaipur",4099,Deluxe King Room,Jaipur,Jaipur,25,8.0,5.4,Not included,No Free cancellation
974,Ratnawali – A Vegetarian Heritage Hotel,4320,Super Deluxe Double Room,"M.I. Road, Jaipur",Jaipur,162,8.4,0.5,Breakfast included,No Free cancellation
975,Sarovar Premiere Jaipur,7199,Deluxe Twin Room: Avail 20% discount on FNB & (1+1 Happy Hour from 1pm - 11pm on selected brands at Lattice Bar),Jaipur,Jaipur,797,7.6,4.4,Not included,No Free cancellation
976,Villa 243,4000,Standard Double Room,Jaipur,Jaipur,237,9.2,5.5,Not included,No Free cancellation
977,Hotel Aarna,3199,Deluxe Room,Jaipur,Jaipur,35,8.2,10.0,Not included,No Free cancellation
978,Ever green guest house,1540,Double Room with Garden View,"C Scheme, Jaipur",Jaipur,91,7.4,1.3,Not included,No Free cancellation
979,Inde Signature Jaipur,6974,Deluxe King Room,"Malviya Nagar, Jaipur",Jaipur,27,7.9,6.6,Breakfast included,No Free cancellation
980,Sunday Hotel Jaipur,5602,Luxury Triple Room,"C Scheme, Jaipur",Jaipur,854,7.4,2.8,Not included,Free cancellation
981,Hotel Lakhdatar Palace,1042,Double Room,Jaipur,Jaipur,58,7.8,2.6,Not included,No Free cancellation
