,Hotel_Name,Price,Room_type,Location,City,No. of Reviews,Rating,Distance from centre (km),Breakfast,Cancellation
6055,"Holiday Inn Express & Suites Bengaluru Old Madras Road, an IHG Hotel",12250,Two-Bedroom Queen Suite,Bangalore,Banglore,634,7.8,19.0,Breakfast included,No Free cancellation
6056,MySpace Triton Suites,2295,Deluxe Twin Room,Bangalore,Banglore,113,8.5,4.9,Breakfast included,No Free cancellation
6057,Regenta Inn Bannerghatta Bangalore,2700,Double Room,Bangalore,Banglore,98,8.0,7.9,Not included,No Free cancellation
6058,FabHotel Rotano Suites - Yelahanka,1863,Deluxe Room,Bangalore,Banglore,216,7.8,13.0,Not included,No Free cancellation
6059,Olive Serviced Apartments HSR Layout,6425,Superior Two Bedroom Apartment,"HSR Layout, Bangalore",Banglore,40,9.1,9.0,Not included,No Free cancellation
6060,Royal N Deluxe,1530,Deluxe Double Room,"Indiranagar, Bangalore",Banglore,169,7.7,5.1,Breakfast included,No Free cancellation
6061,Zone By The Park Infantry Bengaluru,4590,Standard Double Room,"Bangalore Shopping Area, Bangalore",Banglore,52,6.2,0.6,Not included,Free cancellation
6062,Townhouse OAK Ess Jay,1532,Standard Double Room,Bangalore,Banglore,38,7.3,11.0,Not included,Free cancellation
6063,Collection O Prime Residency,989,Standard Double Room,"HBR Layout, Bangalore",Banglore,83,5.9,5.4,Not included,Free cancellation
6064,St. Mark's Hotel,12000,Deluxe Double or Twin Room,"Bangalore Shopping Area, Bangalore",Banglore,251,8.5,0.8,Breakfast included,No Free cancellation
6065,Hotel O Paradise Inn,2035,Classic Triple Room,"Marathahalli, Bangalore",Banglore,154,6.4,11.0,Not included,Free cancellation
6066,FabExpress Manyu Inn - Nr Haralur Road,1477,Deluxe Room,"HSR Layout, Bangalore",Banglore,139,8.5,10.0,Not included,No Free cancellation
6067,Athasri Hotel Infantry Road,1661,Double Room,"Bangalore Shopping Area, Bangalore",Banglore,18,5.6,40.0,Not included,Free cancellation
6068,Tranquil Orchid Serviced Apartments,3150,Deluxe Room,"Electronic City, Bangalore",Banglore,66,8.3,11.0,Not included,Free cancellation
6069,Citrus Hotel Cunningham,8821,Studio,Bangalore,Banglore,108,7.1,1.3,Not included,No Free cancellation
6070,Tristar Serviced Apartments,5831,Two-Bedroom Apartment,"Indiranagar, Bangalore",Banglore,152,8.0,4.4,Breakfast included,No Free cancellation
6071,Sri Sai Grand IN,1709,Double Room,Bangalore,Banglore,20,8.3,9.7,Not included,Free cancellation
6072,Treebo Royal Splendid,1399,Standard Double Room,"HBR Layout, Bangalore",Banglore,112,6.8,7.6,Breakfast included,No Free cancellation
6073,Super Hotel O Resida Elite Service Apartments Near Manipal hospital,1405,Deluxe Double Room,"Indiranagar, Bangalore",Banglore,243,7.4,5.0,Not included,Free cancellation
6074,Jagadish Hotel Jayanagar,3000,Deluxe ,"Jayanagar, Bangalore",Banglore,21,5.1,5.9,Not included,Free cancellation
6075,"La Marvella, Bengaluru",13199,Executive Room,"Jayanagar, Bangalore",Banglore,456,8.2,5.0,Breakfast included,No Free cancellation
6076,Mystic Apartotel Hebbal,2673,Deluxe King Suite,Bangalore,Banglore,11,7.9,10.0,Not included,No Free cancellation
6077,"The Hosteller Bangalore, Brigade Road",2830,Deluxe Double Room,Bangalore,Banglore,518,8.2,1.1,Not included,No Free cancellation
6078,Treebo Krishnam Boutique,1448,Double Room,"Brookefield, Bangalore",Banglore,191,6.9,12.0,Breakfast included,Free cancellation
6079,FabHotel Savi Inn - Nr Mantri Square Mall,1722,Deluxe Room,"Sheshadripuram, Bangalore",Banglore,50,7.9,3.6,Not included,No Free cancellation
6080,Ekaa Keys By Bestinn Leisure - Banglore,2000,Deluxe Double Room,"Electronic City, Bangalore",Banglore,50,6.5,10.0,Not included,Free cancellation
6081,Four Seasons Hotel Bengaluru at Embassy ONE,24300,Premier Room King,Bangalore,Banglore,682,9.2,5.2,Breakfast included,Free cancellation
6082,Bloom Hub - ORR Marathahalli,8550,Deluxe Twin Room,"Marathahalli, Bangalore",Banglore,48,9.1,11.0,Not included,No Free cancellation
6083,Lazdana Hotel Bangalore,7500,Superior King Room,"Indiranagar, Bangalore",Banglore,124,7.4,5.1,Not included,No Free cancellation
6084,Olive Rest House Road by Embassy Group,2233,Standard Queen Room,"MG Road, Bangalore",Banglore,595,7.0,0.6,Not included,Free cancellation
6085,"Treebo Terminus, Koramangala 5th Block",2191,[Sanitized] Standard Double Room,"Koramangala, Bangalore",Banglore,153,7.1,4.9,Breakfast included,No Free cancellation
6086,ICON Boutique by Bhagini,5345,Double or Twin Room,Bangalore,Banglore,42,7.2,4.1,Not included,No Free cancellation
6087,Super Collection O Sarjapura Road Kasavanahalli,1098,Classic Triple Room,Bangalore,Banglore,31,7.1,11.0,Not included,Free cancellation
6088,Vrishi Inn,2262,Executive Suite,"Yelahanka, Bangalore",Banglore,54,8.5,12.0,Not included,No Free cancellation
6089,Treebo Apple Villa Jakkur,1620,Deluxe Double Room,Bangalore,Banglore,25,7.6,10.0,Breakfast included,Free cancellation
6090,FabHotel Prime Signature Inn,2807,Superior Double Room,Bangalore,Banglore,13,7.2,6.8,Not included,No Free cancellation
6091,FabHotel The Pearl Boutique - Nr Infosys Campus,1753,Deluxe Room,"Electronic City, Bangalore",Banglore,4,9.0,14.0,Not included,No Free cancellation
6092,Olive Hotel Brookefield by Embassy Group,4665,Suite,Bangalore,Banglore,53,8.2,12.0,Not included,No Free cancellation
6093,Itsy Hotels Elmas Golden Key,1640,Standard Double Room,"Koramangala, Bangalore",Banglore,186,6.5,4.7,Not included,No Free cancellation
6094,FabHotel Emirates Inn,1765,Double Room,Bangalore,Banglore,57,7.1,7.3,Not included,No Free cancellation
6095,Kensington Suites,2200,Superior Double Room with Two Double Beds,"Brookefield, Bangalore",Banglore,56,7.6,12.0,Breakfast included,Free cancellation
6096,Hotel Avenue Suites Near International Airport Bangalore,2250,Superior King Room,Bangalore,Banglore,25,7.6,19.0,Not included,No Free cancellation
6097,The Lounge Business Hotel,1071,Deluxe Double Room,Bangalore,Banglore,114,7.3,3.3,Not included,No Free cancellation
6098,FabHotel Royal Platinum Suites,1866,Deluxe Room,"HSR Layout, Bangalore",Banglore,3,8.7,9.3,Not included,No Free cancellation
6099,ICON SELECT by Bhagini,3331,Standard King Room,Bangalore,Banglore,51,5.9,9.5,Not included,No Free cancellation
6100,Pinnacle Serviced Apartments,5265,Two-Bedroom Apartment,Bangalore,Banglore,68,8.5,9.0,Not included,Free cancellation
6101,Conrad Bengaluru,23500,Executive King Room - Lounge Access,"Ulsoor, Bangalore",Banglore,669,8.2,2.1,Breakfast included,No Free cancellation
6102,Octave Nest Inn,1458,Deluxe Double Room,"Peenya, Bangalore",Banglore,149,7.0,11.0,Not included,No Free cancellation
6103,Aishwarya Mystic Apartotel,1900,Studio Rooms,Bangalore,Banglore,21,8.6,8.5,Not included,Free cancellation
6104,Hotel Aurum Keys - ORR Bagmane Tech Park,5765,Superior Twin Room,Bangalore,Banglore,40,8.5,10.0,Not included,Free cancellation
6105,Hotel Noor Empire International Kormangala,2639,Deluxe Double Room,"Koramangala, Bangalore",Banglore,88,6.1,4.9,Breakfast included,Free cancellation
6106,Treebo Celebrity Hotels And Suites,1784,Standard Double Room,"Electronic City, Bangalore",Banglore,137,7.4,15.0,Breakfast included,Free cancellation
6107,Treebo Verdisso,2139,Standard Double Room,"Marathahalli, Bangalore",Banglore,78,7.5,10.0,Breakfast included,Free cancellation
6108,FabHotel Partha Residency - Nr Iskcon KR Puram,1541,Deluxe Room,Bangalore,Banglore,4,8.8,12.0,Not included,No Free cancellation
6109,Itsy Hotels Palm Emirates,1408,Standard Double Room,Bangalore,Banglore,143,6.7,5.1,Breakfast included,No Free cancellation
6110,Olive Koramangala 100ft Road by Embassy Group,2058,Standard Double Room,"Koramangala, Bangalore",Banglore,98,7.1,5.2,Not included,No Free cancellation
6111,Capital O Elegant Amethyst Business Hotel Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,606,Classic Triple Room,"Jayanagar, Bangalore",Banglore,102,3.8,6.6,Not included,Free cancellation
6112,FabHotel Phoenix Horamavu - Nr Horamavu Main Road,1311,Deluxe Room,Bangalore,Banglore,119,9.2,7.6,Not included,No Free cancellation
6113,Stellar homes Bangalore,2375,Deluxe Room,Bangalore,Banglore,18,8.1,13.0,Breakfast included,No Free cancellation
6114,Nirantara Resort & Spa,3500,Deluxe Double Room,Bangalore,Banglore,5,7.0,17.0,Breakfast included,No Free cancellation
6115,Monarch Luxur - Infantry Road,5200,Club Double or Twin Room,"Bangalore Shopping Area, Bangalore",Banglore,136,6.6,0.6,Not included,No Free cancellation
6116,Sunshine Suites-Premium,3200,One-Bedroom Apartment,Bangalore,Banglore,11,8.5,8.9,Not included,No Free cancellation
6117,The Royal Living I Indiranagar,3300,Deluxe King Room,"Indiranagar, Bangalore",Banglore,164,7.2,3.9,Breakfast included,No Free cancellation
6118,UR Residency New BEL ROAD,1640,Standard Double Room with Fan,Bangalore,Banglore,101,7.9,7.0,Breakfast included,Free cancellation
6119,The Sunvista Serviced Apartments,3150,One-Bedroom Apartment,Bangalore,Banglore,6,7.8,9.4,Not included,Free cancellation
6120,Townhouse Jayanagar,1514,Standard Double Room,"Jayanagar, Bangalore",Banglore,185,6.0,5.3,Not included,Free cancellation
6121,Ashraya International Hotel,3126,Standard Double Room,Bangalore,Banglore,141,6.8,1.2,Not included,No Free cancellation
6122,Collection O Bannerghatta Road Near IIM Bangalore,1370,Standard Double Room,Bangalore,Banglore,32,7.3,9.3,Not included,Free cancellation
6123,Happy Stays Whitefield,1691,Deluxe Room,"Whitefield, Bangalore",Banglore,34,7.9,14.0,Not included,Free cancellation
6124,Stayhome Suites,2853,One-Bedroom Apartment,Bangalore,Banglore,94,8.4,8.8,Not included,Free cancellation
6125,Super Capital O Regal suites,1104,Standard Double Room,"Jayanagar, Bangalore",Banglore,37,6.3,5.3,Not included,Free cancellation
6126,ABM Express Inn,1799,Standard King Room,"Gandhi nagar, Bangalore",Banglore,171,6.8,2.8,Not included,Free cancellation
6127,Treebo Akshaya Bull Temple,2966,[Sanitized] Standard Double Room,"Basavanagudi, Bangalore",Banglore,192,7.1,5.1,Breakfast included,No Free cancellation
6128,Hotel Subha Residency Bangalore,1250,Deluxe Double Room,Bangalore,Banglore,12,7.3,3.5,Not included,Free cancellation
6129,FabHotel Turning Point - Nr Ulsoor Lake,1930,Deluxe Room,Bangalore,Banglore,20,7.2,2.3,Not included,No Free cancellation
6130,Sarovar Portico Outer Ring Road,10800,Premium Room With Balcony,"Marathahalli, Bangalore",Banglore,198,7.1,9.9,Not included,No Free cancellation
6131,Octave Hotel & Spa - Marathahalli,1683,Deluxe Double Room,"Kadubeesanahalli, Bangalore",Banglore,383,6.2,11.0,Not included,No Free cancellation
6132,Upar Hotels Indiranagar,2850,Deluxe Suite,"Indiranagar, Bangalore",Banglore,149,7.2,4.8,Not included,No Free cancellation
